wiki_id,wiki_birthdate,wiki_deathdate,wiki_name,wiki_work,wiki_gender,wiki_uri
wiki_29753,,,Camille Recht,,female,http://www.wikidata.org/entity/Q5026675
wiki_29754,1939-01-01 00:00:00,,Caroline Anderson,,female,http://www.wikidata.org/entity/Q5044965
wiki_29755,,,Caroline Haythornthwaite,,female,http://www.wikidata.org/entity/Q17021909
wiki_29756,1660-01-01 00:00:00,1744-01-01 00:00:00,Charlotte-Catherine Patin,,female,http://www.wikidata.org/entity/Q2960929
wiki_29757,1950-00-00 00:00:00,,Christine Leigh Heyrman,,female,http://www.wikidata.org/entity/Q5111102
wiki_29758,1953-01-01 00:00:00,,Christopher Oakley,,male,http://www.wikidata.org/entity/Q15429405
wiki_29759,,,Cliff Taylor,,male,http://www.wikidata.org/entity/Q5132776
wiki_29760,1950-01-01 00:00:00,,Colin Bruce,The Strange Case of Mrs. Hudson's Cat,male,http://www.wikidata.org/entity/Q13426971
wiki_29761,1966-00-00 00:00:00,,Daniel Hobbins,,male,http://www.wikidata.org/entity/Q5217494
wiki_29762,,,David Shafer,,male,http://www.wikidata.org/entity/Q17513232
wiki_29763,1942-06-06 00:00:00,,Dorothy J. Heydt,,female,http://www.wikidata.org/entity/Q5298469
wiki_29764,,,Ed West,,male,http://www.wikidata.org/entity/Q5335564
wiki_29765,1958-04-12 00:00:00,,Edward Kay,,male,http://www.wikidata.org/entity/Q5343885
wiki_29766,,,Frank Davison,,male,http://www.wikidata.org/entity/Q5486172
wiki_29767,,,Giuseppe Colombani,,male,http://www.wikidata.org/entity/Q5565384
wiki_29768,,,Humphrey Hawksley,,male,http://www.wikidata.org/entity/Q16208931
wiki_29769,1934-04-13 00:00:00,,Jane Franklin,,female,http://www.wikidata.org/entity/Q22957950
wiki_29770,,,Jason Rothenberg,,male,http://www.wikidata.org/entity/Q21063576
wiki_29771,1950-01-01 00:00:00,,Jay Hosler,,male,http://www.wikidata.org/entity/Q6166721
wiki_29772,,,Jeannette Paulson Hereniko,,female,http://www.wikidata.org/entity/Q6172299
wiki_29773,,,Jim Jennewein,,male,http://www.wikidata.org/entity/Q6195882
wiki_29774,,,John Darling,,male,http://www.wikidata.org/entity/Q16241283
wiki_29775,,,Leah Giarratano,,female,http://www.wikidata.org/entity/Q16208340
wiki_29776,,,Liam Nolan,,male,http://www.wikidata.org/entity/Q6539738
wiki_29777,1933-03-01 00:00:00,,Lil Bahadur Chettri,,male,http://www.wikidata.org/entity/Q6547395
wiki_29778,,,Madhav Manjunath Shanbhag,,male,http://www.wikidata.org/entity/Q6727264
wiki_29779,1950-01-01 00:00:00,,Margaret Pargeter,,female,http://www.wikidata.org/entity/Q6759796
wiki_29780,,,Martin Oliver,,male,http://www.wikidata.org/entity/Q6776315
wiki_29781,,,Meg Jayanth,,female,http://www.wikidata.org/entity/Q18978138
wiki_29782,,,Migene González-Wippler,,female,http://www.wikidata.org/entity/Q6844063
wiki_29783,1936-05-01 00:00:00,,Nicholas Clapp,,male,http://www.wikidata.org/entity/Q7025211
wiki_29784,,,Nicholas Davies,,male,http://www.wikidata.org/entity/Q7025285
wiki_29785,,,Paul Perry,,male,http://www.wikidata.org/entity/Q7152920
wiki_29786,,,Rebecca Sinclair,,female,http://www.wikidata.org/entity/Q17117989
wiki_29787,1951-01-01 00:00:00,,Richard P. Henrick,,male,http://www.wikidata.org/entity/Q7328233
wiki_29788,1966-06-22 00:00:00,,Rob Roberge,,male,http://www.wikidata.org/entity/Q7340504
wiki_29789,1950-00-00 00:00:00,,Robert Kaplow,,male,http://www.wikidata.org/entity/Q7346262
wiki_29790,,,Scott Hornbacher,,male,http://www.wikidata.org/entity/Q7436518
wiki_29791,1940-11-13 00:00:00,,Stephanie Alexander,,female,http://www.wikidata.org/entity/Q7608210
wiki_29792,,,Thomas Beirne,,male,http://www.wikidata.org/entity/Q7787539
wiki_29793,1968-00-00 00:00:00,,Andrew Kaufman,,male,http://www.wikidata.org/entity/Q4757579
wiki_29794,,,Brett Matthews,,male,http://www.wikidata.org/entity/Q4962280
wiki_29795,1931-01-01 00:00:00,,David Salsburg,,male,http://www.wikidata.org/entity/Q5239430
wiki_29796,,,Dennis Shere,,male,http://www.wikidata.org/entity/Q5258952
wiki_29797,1500-01-01 00:00:00,,Dhurjati,,male,http://www.wikidata.org/entity/Q5269911
wiki_29798,,,Ed Guerrero,,male,http://www.wikidata.org/entity/Q5334891
wiki_29799,,,Frieda A. Murray,,female,http://www.wikidata.org/entity/Q5503635
wiki_29800,,,Gina Arnold,,female,http://www.wikidata.org/entity/Q5562831
wiki_29801,1944-01-01 00:00:00,,H. Keith Melton,,male,http://www.wikidata.org/entity/Q5628341
wiki_29802,,,Hilton Schleman,,male,http://www.wikidata.org/entity/Q5764712
wiki_29803,1953-01-01 00:00:00,,J. B. Rainsberger,,male,http://www.wikidata.org/entity/Q3156783
wiki_29804,,,José Wendell Capili,,male,http://www.wikidata.org/entity/Q6294227
wiki_29805,,,King-Kok Cheung,,female,http://www.wikidata.org/entity/Q6411170
wiki_29806,,,Lorraine Bethel,,female,http://www.wikidata.org/entity/Q6681581
wiki_29807,,,Maida Parlow French,,female,http://www.wikidata.org/entity/Q6735325
wiki_29808,1956-04-00 00:00:00,,Marion Roach,,female,http://www.wikidata.org/entity/Q6765347
wiki_29809,,,Michael Healey,,male,http://www.wikidata.org/entity/Q6831033
wiki_29810,1901-01-01 00:00:00,,Robin Green,,female,http://www.wikidata.org/entity/Q7352432
wiki_29811,,,Royson James,,male,http://www.wikidata.org/entity/Q7375240
wiki_29812,,,Sos Eltis,,female,http://www.wikidata.org/entity/Q7563808
wiki_29813,,,Steve Fowler,,male,http://www.wikidata.org/entity/Q7612576
wiki_29814,,,Timothy Kanold,,male,http://www.wikidata.org/entity/Q7807322
wiki_29815,1950-01-01 00:00:00,,Timothy Wilson,,male,http://www.wikidata.org/entity/Q7807613
wiki_29816,,,Tony Koltz,,male,http://www.wikidata.org/entity/Q7822726
wiki_29817,2000-01-01 00:00:00,,Walter Mikac,,male,http://www.wikidata.org/entity/Q7965633
wiki_29818,,,Wilfred P. Deac,,male,http://www.wikidata.org/entity/Q8001856
wiki_29819,1820-01-01 00:00:00,1886-01-01 00:00:00,William Bruce Robertson,,male,http://www.wikidata.org/entity/Q8006061
wiki_29820,,,Ada Albrecht,,female,http://www.wikidata.org/entity/Q4063408
wiki_29821,,,Adam Barr,,male,http://www.wikidata.org/entity/Q4678674
wiki_29822,,,Alexander Masters,,male,http://www.wikidata.org/entity/Q4719562
wiki_29823,,,Anil Prasad,,male,http://www.wikidata.org/entity/Q4764667
wiki_29824,,,Benjamin B. Fischer,,male,http://www.wikidata.org/entity/Q4888227
wiki_29825,,,Christopher Cihlar,,male,http://www.wikidata.org/entity/Q5112104
wiki_29826,,,Colin McLoughlin,,male,http://www.wikidata.org/entity/Q5145381
wiki_29827,,,David Dark,,male,http://www.wikidata.org/entity/Q5232821
wiki_29828,,,Doug Engebretson,,male,http://www.wikidata.org/entity/Q5300453
wiki_29829,1900-01-01 00:00:00,,Edward di Lorenzo,,male,http://www.wikidata.org/entity/Q5346050
wiki_29830,,,Giovanni Dall'Agocchie,,male,http://www.wikidata.org/entity/Q5563828
wiki_29831,1950-01-01 00:00:00,,Hans Johannes Hofer,,male,http://www.wikidata.org/entity/Q5650229
wiki_29832,1600-00-00 00:00:00,1700-00-00 00:00:00,Jacob Sutor,,male,http://www.wikidata.org/entity/Q6119335
wiki_29833,,,James Como,,male,http://www.wikidata.org/entity/Q16728158
wiki_29834,,,Jonah Blank,,male,http://www.wikidata.org/entity/Q6271858
wiki_29835,,,Jonathan Skinner,,male,http://www.wikidata.org/entity/Q3809953
wiki_29836,,,Kaj Busch,,male,http://www.wikidata.org/entity/Q6348779
wiki_29837,1947-01-01 00:00:00,,Lynda Madaras,,female,http://www.wikidata.org/entity/Q6708559
wiki_29838,2000-00-00 00:00:00,,Marek Kohn,,male,http://www.wikidata.org/entity/Q6758848
wiki_29839,1975-01-01 00:00:00,,Melissa Plaut,,female,http://www.wikidata.org/entity/Q15493906
wiki_29840,1937-08-12 00:00:00,,Mike McColl-Jones,,male,http://www.wikidata.org/entity/Q6847884
wiki_29841,1901-01-01 00:00:00,,Mitchell Burgess,,male,http://www.wikidata.org/entity/Q4575144
wiki_29842,1949-09-15 00:00:00,,Paul Freedman,,male,http://www.wikidata.org/entity/Q16241764
wiki_29843,,,Peter Anghelides,,male,http://www.wikidata.org/entity/Q7172538
wiki_29844,,,Philip Augar,,male,http://www.wikidata.org/entity/Q7183146
wiki_29845,,,Pierre Fageolle,,male,http://www.wikidata.org/entity/Q16728898
wiki_29846,1950-01-01 00:00:00,,Robert L. Richards,,male,http://www.wikidata.org/entity/Q7346628
wiki_29847,1900-01-01 00:00:00,,Ron Cowen,,male,http://www.wikidata.org/entity/Q7363663
wiki_29848,1954-01-01 00:00:00,,Thea E. Smith,,female,http://www.wikidata.org/entity/Q7777202
wiki_29849,,,Thomas Sullivan,,male,http://www.wikidata.org/entity/Q7794267
wiki_29850,1950-01-01 00:00:00,,William C. Kirby,,male,http://www.wikidata.org/entity/Q8006333
wiki_29851,,,William E. Kapelle,,male,http://www.wikidata.org/entity/Q8008260
wiki_29852,1961-00-00 00:00:00,,Yasmine Galenorn,,female,http://www.wikidata.org/entity/Q3571924
wiki_29853,,,Alan Rook,,male,http://www.wikidata.org/entity/Q4707663
wiki_29854,,,Alice Geer Kelsey,,female,http://www.wikidata.org/entity/Q2836580
wiki_29855,,1549-01-01 00:00:00,Arthur Kelton,,male,http://www.wikidata.org/entity/Q4799341
wiki_29856,,,Brent Olson,,male,http://www.wikidata.org/entity/Q4961492
wiki_29857,,,Chris Eboch,,female,http://www.wikidata.org/entity/Q5106469
wiki_29858,1960-07-25 00:00:00,,Doranna Durgin,,female,http://www.wikidata.org/entity/Q5297525
wiki_29859,,,Edith Pattou,,female,http://www.wikidata.org/entity/Q2902491
wiki_29860,1966-01-01 00:00:00,,Erik Richter,,male,http://www.wikidata.org/entity/Q5388795
wiki_29861,,,Ethan Brown,,male,http://www.wikidata.org/entity/Q5402905
wiki_29862,1953-01-01 00:00:00,,Guy Andrews,,male,http://www.wikidata.org/entity/Q3121516
wiki_29863,1935-01-01 00:00:00,,Isobel Warren,,female,http://www.wikidata.org/entity/Q6085337
wiki_29864,1950-01-01 00:00:00,,Janaki Ram,,female,http://www.wikidata.org/entity/Q6150710
wiki_29865,,,Juda Bennett,,male,http://www.wikidata.org/entity/Q16240675
wiki_29866,,,Kate Fox,,female,http://www.wikidata.org/entity/Q6375498
wiki_29867,1960-00-00 00:00:00,,Laura J. Burns,,female,http://www.wikidata.org/entity/Q6499035
wiki_29868,1950-01-01 00:00:00,,Linda Kohanov,,female,http://www.wikidata.org/entity/Q15040039
wiki_29869,2000-01-01 00:00:00,,Margaret Ryan,,female,http://www.wikidata.org/entity/Q6759862
wiki_29870,1941-08-27 00:00:00,2017-03-26 00:00:00,Marie Jakober,,female,http://www.wikidata.org/entity/Q6762886
wiki_29871,,,Marion Maddox,,female,http://www.wikidata.org/entity/Q16731797
wiki_29872,,,Michael Stadther,,male,http://www.wikidata.org/entity/Q6834549
wiki_29873,1972-09-28 00:00:00,,Michelle Vogel,,female,http://www.wikidata.org/entity/Q6837284
wiki_29874,1964-08-04 00:00:00,,Nick Arnold,,male,http://www.wikidata.org/entity/Q2711976
wiki_29875,1948-01-01 00:00:00,,Peter G. Tsouras,,male,http://www.wikidata.org/entity/Q7174145
wiki_29876,1964-00-00 00:00:00,,Peter Oliva,,male,http://www.wikidata.org/entity/Q7176217
wiki_29877,1953-01-01 00:00:00,,Phyllis King,,female,http://www.wikidata.org/entity/Q7188587
wiki_29878,1954-08-09 00:00:00,,Rich Karlgaard,,male,http://www.wikidata.org/entity/Q7323317
wiki_29879,,,Richard Leviton,,male,http://www.wikidata.org/entity/Q7327360
wiki_29880,2000-01-01 00:00:00,,Robin O'Neil,,male,http://www.wikidata.org/entity/Q7352692
wiki_29881,,,Shibani Bathija,,female,http://www.wikidata.org/entity/Q7496020
wiki_29882,,,Stephen Finucan,,male,http://www.wikidata.org/entity/Q7609199
wiki_29883,1947-01-01 00:00:00,,Sterling Watson,,male,http://www.wikidata.org/entity/Q7611484
wiki_29884,,,Steve Maich,,male,http://www.wikidata.org/entity/Q7613234
wiki_29885,,,Thomas Toughill,,male,http://www.wikidata.org/entity/Q7794516
wiki_29886,,,Tina Hannan,,female,http://www.wikidata.org/entity/Q7807905
wiki_29887,,,Utpal Dutta,,male,http://www.wikidata.org/entity/Q7902975
wiki_29888,1927-09-08 00:00:00,,William E. Duff,,male,http://www.wikidata.org/entity/Q8008229
wiki_29889,,,Philip Mitchell,,male,http://www.wikidata.org/entity/Q16732690
wiki_29890,,,Rande Gail Brown,,female,http://www.wikidata.org/entity/Q7291646
wiki_29891,2000-01-01 00:00:00,,Alan Oliver,,male,http://www.wikidata.org/entity/Q4707455
wiki_29892,1967-08-21 00:00:00,,Alexander Chee,Edinburgh,male,http://www.wikidata.org/entity/Q4718581
wiki_29893,2000-01-01 00:00:00,,Carol Ballard,,female,http://www.wikidata.org/entity/Q5044246
wiki_29894,1965-11-24 00:00:00,,Craig Steven Wilder,,male,http://www.wikidata.org/entity/Q5181487
wiki_29895,,,David Hirshey,,male,http://www.wikidata.org/entity/Q5235019
wiki_29896,1920-00-00 00:00:00,,Dayton Hyde,,male,http://www.wikidata.org/entity/Q5243544
wiki_29897,,,Eugénie Olson,,female,http://www.wikidata.org/entity/Q5408604
wiki_29898,,,Gilbert R. Lavoie,,male,http://www.wikidata.org/entity/Q5561164
wiki_29899,1950-01-01 00:00:00,,Graef Crystal,,male,http://www.wikidata.org/entity/Q5592172
wiki_29900,2000-01-01 00:00:00,,Iain Aitch,,male,http://www.wikidata.org/entity/Q5980358
wiki_29901,1944-11-11 00:00:00,,Ibrahim K. Sundiata,,male,http://www.wikidata.org/entity/Q5984599
wiki_29902,,,James McConvill,,male,http://www.wikidata.org/entity/Q6139223
wiki_29903,,,James Turnbull,,male,http://www.wikidata.org/entity/Q17056821
wiki_29904,,,Jim Oldfield,,male,http://www.wikidata.org/entity/Q16733686
wiki_29905,1953-01-01 00:00:00,,Joshua Sternin,,male,http://www.wikidata.org/entity/Q3186038
wiki_29906,,,Marc J. Susser,,male,http://www.wikidata.org/entity/Q6755643
wiki_29907,1959-00-00 00:00:00,,Marie Cassidy,,female,http://www.wikidata.org/entity/Q6762789
wiki_29908,,,Maxine Riddington,,female,http://www.wikidata.org/entity/Q6795994
wiki_29909,,,Michael V. Smith,,male,http://www.wikidata.org/entity/Q6835042
