id,hotel name,hotel_name-href,address_street,address_district,address_zip,address_country,number_reviews,rating,check-in from,check-out until,check-in until,check-out from,stars,Family rooms,Non-smoking rooms
941,B&B La Casa Di Rosy,"https://www.booking.com/hotel/it/b-b-la-casa-di-rosy.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=f4c90ee3fad50145&sr_order=hpe&ucfs=1&srpvid=f4c90ee3fad50145&srepoch=1540519624&room1=A,A&hpos=11&hapos=611&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X611&from=searchresults;highlight_room=#hotelTmpl",Via Napoleone III 10,Central Station,00185 Rome,Italy,280,7.4,15:00,10:00,20:00,8:00,,TRUE,TRUE
942,Apartment  Manzoni Domus,"https://www.booking.com/hotel/it/manzoni-domus.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=b72a125a5946008c&sr_order=hpe&ucfs=1&srpvid=b72a125a5946008c&srepoch=1540521397&room1=A,A&hpos=2&hapos=212&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X212&from=searchresults;highlight_room=#hotelTmpl",Viale Alessandro Manzoni 91,Central Station,00185 Rome,Italy,51,9.4,14:00,null,20:00,10:30,,FALSE,TRUE
943,Houspitality Flowers B&B,"https://www.booking.com/hotel/it/anitaflowers.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=f95012c30e200179&sr_order=hpe&ucfs=1&srpvid=f95012c30e200179&srepoch=1540521607&room1=A,A&hpos=5&hapos=170&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X170&from=searchresults;highlight_room=#hotelTmpl",Via Vigliena 2,Vatican City - Prati,00192 Rome,Italy,270,8.5,12:00,10:00,19:00,7:30,,TRUE,TRUE
944,Marvi Hotel,"https://www.booking.com/hotel/it/marvi.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=cd47132b826d0066&sr_order=hpe&ucfs=1&srpvid=cd47132b826d0066&srepoch=1540521816&room1=A,A&hpos=11&hapos=131&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X131&from=searchresults;highlight_room=#hotelTmpl",Via Pietro della Valle 13,Vatican City - Prati,00193 Rome,Italy,569,7.9,14:00,null,20:30,11:00,2,TRUE,TRUE
945,Baylon Suites,"https://www.booking.com/hotel/it/baylon-suites.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=398a13fe5e2c0200&sr_order=hpe&ucfs=1&srpvid=398a13fe5e2c0200&srepoch=1540522237&room1=A,A&hpos=2&hapos=32&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X32&from=searchresults;highlight_room=#hotelTmpl",Via Luciano Manara 4,Trastevere,00153 Rome,Italy,489,7.5,14:00,10:00,20:00,0:00,,TRUE,TRUE
946,Holiday homes  Appartamento Cavour 172,"https://www.booking.com/hotel/it/fiordaliso-bnb.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=79e70c3969d901bc&sr_order=hpe&ucfs=1&srpvid=79e70c3969d901bc&srepoch=1540518259&room1=A,A&hpos=8&hapos=908&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X908&from=searchresults;highlight_room=#hotelTmpl",Via Cavour 172,Rione Monti,00184 Rome,Italy,69,8.3,15:00,10:30,22:00,9:30,,FALSE,FALSE
947,Ding House,"https://www.booking.com/hotel/it/ding-house.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=12010e17e6ad006b&sr_order=hpe&ucfs=1&srpvid=12010e17e6ad006b&srepoch=1540519215&room1=A,A&hpos=6&hapos=696&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X696&from=searchresults;highlight_room=#hotelTmpl",Via Enrico Cialdini 13,Central Station,00185 Rome,Italy,123,6.6,13:00,11:00,21:30,8:00,,FALSE,TRUE
948,Domus Vittoria Romana,"https://www.booking.com/hotel/it/domus-vittoria-romana.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=f95012c30e200179&sr_order=hpe&ucfs=1&srpvid=f95012c30e200179&srepoch=1540521607&room1=A,A&hpos=15&hapos=180&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X180&from=searchresults;highlight_room=#hotelTmpl",Via Giuseppe Palombini 12  SCALA B INTERNO 4,null,00165 Rome,Italy,55,9.2,12:00,null,20:00,10:00,,TRUE,TRUE
949,Carlo Alberto House,"https://www.booking.com/hotel/it/carlo-alberto-house.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=9d48107d9d6c000a&sr_order=hpe&ucfs=1&srpvid=9d48107d9d6c000a&srepoch=1540520444&room1=A,A&hpos=14&hapos=434&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X434&from=searchresults;highlight_room=#hotelTmpl",Via Carlo Alberto 63,Central Station,00185 Rome,Italy,131,8.5,11:30,null,18:00,10:00,,FALSE,TRUE
950,B&B Palombini,"https://www.booking.com/hotel/it/b-amp-b-palombini.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=49df0f25f6d2008e&sr_order=hpe&ucfs=1&srpvid=49df0f25f6d2008e&srepoch=1540519756&room1=A,A&hpos=15&hapos=585&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X585&from=searchresults;highlight_room=#hotelTmpl",Via Giuseppe Palombini 12 Scala A Interno 2,Aurelio,00165 Rome,Italy,86,8.4,14:00,null,0:00,11:00,,TRUE,TRUE
