id,hotel name,hotel_name-href,address_street,address_district,address_zip,address_country,number_reviews,rating,check-in from,check-out until,check-in until,check-out from,stars,Family rooms,Non-smoking rooms
1,Nika Hostel,"https://www.booking.com/hotel/it/nika-hostel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=a54fa4fe3480014c&sr_order=hpe&ucfs=1&srpvid=a54fa4fe3480014c&srepoch=1540510077&room1=A,A&hpos=4&hapos=1004&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1004&from=searchresults;highlight_room=#hotelTmpl",Piazza di San Giovanni in Laterano 36,San Giovanni,00185 Rome,Italy,144,8.5,13:30,10:30,22:00,7:00,,TRUE,TRUE
2,Kolping Hotel Casa Domitilla,"https://www.booking.com/hotel/it/casa-domitilla.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=7a62114acb730387&sr_order=hpe&ucfs=1&srpvid=7a62114acb730387&srepoch=1540520853&room1=A,A&hpos=8&hapos=338&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X338&from=searchresults;highlight_room=#hotelTmpl",Via Delle Sette Chiese 280,Eur & Garbatella,00147 Rome,Italy,2021,8.2,14:00,10:30,23:00,6:30,3,TRUE,TRUE
3,Aladino Inn,"https://www.booking.com/hotel/it/aladino-inn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=67fb0e7eefab001e&sr_order=hpe&ucfs=1&srpvid=67fb0e7eefab001e&srepoch=1540519422&room1=A,A&hpos=4&hapos=649&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X649&from=searchresults;highlight_room=#hotelTmpl",Via Carlo Emanuele I 22a,Central Station,00185 Rome,Italy,465,6.1,14:00,10:30,23:00,6:00,,TRUE,TRUE
4,Testa Gioacchino B&B,"https://www.booking.com/hotel/it/testa-gioacchino-b-amp-b.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=9e88048b5080014e&sr_order=hpe&ucfs=1&srpvid=9e88048b5080014e&srepoch=1540514328&room1=A,A&hpos=11&hapos=1011&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1011&from=searchresults;highlight_room=#hotelTmpl",Via Casimiro Teja 29d,Tiburtino,00157 Rome,Italy,64,7.9,15:00,10:00,22:00,5:00,,FALSE,TRUE
5,Rome for rent,"https://www.booking.com/hotel/it/rome-for-rent.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=d6450e3abab901bd&sr_order=hpe&ucfs=1&srpvid=d6450e3abab901bd&srepoch=1540519285&room1=A,A&hpos=3&hapos=678&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X678&from=searchresults;highlight_room=#hotelTmpl",92 Via Eugenio Torelli Viollier,Tiburtino,00157 Rome,Italy,17,9.2,0:00,12:30,0:00,4:00,,TRUE,FALSE
6,Guest House Il Limone Nascosto,"https://www.booking.com/hotel/it/guest-house-il-limone-nascosto.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=b39a06730aa1011a&sr_order=hpe&ucfs=1&srpvid=b39a06730aa1011a&srepoch=1540515303&room1=A,A&hpos=5&hapos=1005&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1005&from=searchresults;highlight_room=#hotelTmpl",Via Giovanni De Calvi 56,Gianicolense,00151 Rome,Italy,27,8.9,13:00,null,15:00,11:00,,FALSE,TRUE
7,Coconuts Female Hostel,"https://www.booking.com/hotel/it/coconuts-female-hostel.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=8d7ba5f5052e0356&sr_order=hpe&ucfs=1&srpvid=8d7ba5f5052e0356&srepoch=1540510572&room1=A,A&hpos=1&hapos=1001&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1001&from=searchresults;highlight_room=#hotelTmpl",Via Giovanni Giolitti  137,null,00185 Rome,Italy,719,7.9,15:00,null,21:00,13:00,,FALSE,TRUE
8,B&b Tesori di Roma,"https://www.booking.com/hotel/it/b-amp-b-tesori-di-roma.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=5cad0a87c98b00d7&sr_order=hpe&ucfs=1&srpvid=5cad0a87c98b00d7&srepoch=1540517391&room1=A,A&hpos=9&hapos=1009&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1009&from=searchresults;highlight_room=#hotelTmpl",15 Via degli Storni Piano 1 interno 4,Prenestino,00169 Rome,Italy,10,8.8,11:00,10:00,20:00,9:00,,TRUE,TRUE
9,Eleonora Guest House,"https://www.booking.com/hotel/it/casa-vacanze-roma1234.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=fee1040bda220130&sr_order=hpe&ucfs=1&srpvid=fee1040bda220130&srepoch=1540514071&room1=A,A&hpos=8&hapos=1008&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1008&from=searchresults;highlight_room=#hotelTmpl",Via Teodolfo Mertel Piano terra n 38,null,00166 Rome,Italy,21,7.1,11:00,10:30,20:00,9:00,,FALSE,FALSE
10,Apartments  Aquila 52,"https://www.booking.com/hotel/it/aquila52.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=3f210e5c412b0209&sr_order=hpe&ucfs=1&srpvid=3f210e5c412b0209&srepoch=1540519353&room1=A,A&hpos=13&hapos=673&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X673&from=searchresults;highlight_room=#hotelTmpl",Via L'Aquila  52,null,00176 Rome,Italy,43,8.5,15:00,null,22:30,12:00,,FALSE,TRUE
11,Sara Guest House,"https://www.booking.com/hotel/it/sara-guest-house-roma.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=fd090b90c98e0306&sr_order=hpe&ucfs=1&srpvid=fd090b90c98e0306&srepoch=1540517921&room1=A,A&hpos=11&hapos=986&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X986&from=searchresults;highlight_room=#hotelTmpl",Via di Gesù e Maria 19  Int. 1,null,00187 Rome,Italy,29,7,11:00,null,23:00,10:00,,FALSE,FALSE
12,DoYouBnB Hideout + our concierge,"https://www.booking.com/hotel/it/rooms-large-escape-hideout.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=a549085ddc3d014d&sr_order=hpe&ucfs=1&srpvid=a549085ddc3d014d&srepoch=1540516283&room1=A,A&hpos=6&hapos=1006&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1006&from=searchresults;highlight_room=#hotelTmpl",70 Viale di Trastevere,Trastevere,00153 Rome,Italy,11,9.1,12:00,10:00,21:30,0:00,,FALSE,TRUE
13,Apartment  Gradoli,"https://www.booking.com/hotel/it/via-gradoli-apartment.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=120107fdec3401c1&sr_order=hpe&ucfs=1&srpvid=120107fdec3401c1&srepoch=1540516091&room1=A,A&hpos=3&hapos=1003&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1003&from=searchresults;highlight_room=#hotelTmpl",Via Gradoli 69,Cassia,00189 Rome,Italy,36,7.2,20:00,9:00,0:00,5:00,,TRUE,FALSE
14,Rome Rainbow Guest House,"https://www.booking.com/hotel/it/rome-rainbow-guest-house.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=2d4e0ff5834700f4&sr_order=hpe&ucfs=1&srpvid=2d4e0ff5834700f4&srepoch=1540520172&room1=A,A&hpos=2&hapos=482&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X482&from=searchresults;highlight_room=#hotelTmpl",Via Carlo Alberto 4,Central Station,00185 Rome,Italy,582,6.8,15:00,null,23:00,9:00,,TRUE,TRUE
15,I Giardini di Minerva,"https://www.booking.com/hotel/it/i-giardini-di-minerva.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=247e101858bc0267&sr_order=hpe&ucfs=1&srpvid=247e101858bc0267&srepoch=1540520242&room1=A,A&hpos=2&hapos=467&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X467&from=searchresults;highlight_room=#hotelTmpl",Via Pietro Giannone 28,Vatican City - Prati,00195 Rome,Italy,230,8.1,15:00,null,17:00,10:30,,TRUE,TRUE
16,B&B Papa Leone Countryrooms,"https://www.booking.com/hotel/it/b-amp-b-papa-leone-countryrooms.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=247e101858bc0267&sr_order=hpe&ucfs=1&srpvid=247e101858bc0267&srepoch=1540520242&room1=A,A&hpos=3&hapos=468&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X468&from=searchresults;highlight_room=#hotelTmpl",Vicolo di Papa Leone  39,null,00148 Rome,Italy,10,9.5,14:00,11:00,22:00,0:00,,TRUE,TRUE
17,Legends,"https://www.booking.com/hotel/it/residenza-giustiniani.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=cd7a07da96fd00a6&sr_order=hpe&ucfs=1&srpvid=cd7a07da96fd00a6&srepoch=1540516021&room1=A,A&hpos=13&hapos=1013&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1013&from=searchresults;highlight_room=#hotelTmpl",Via Curtatone 12,Central Station,00185 Rome,Italy,865,7.7,15:00,10:00,null,0:00,,TRUE,TRUE
18,Light Inn Affittacamere,"https://www.booking.com/hotel/it/light-inn-affittacamera-roma.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=6c9d0fac66f60027&sr_order=hpe&ucfs=1&srpvid=6c9d0fac66f60027&srepoch=1540520026&room1=A,A&hpos=5&hapos=515&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X515&from=searchresults;highlight_room=#hotelTmpl",12 Piazza di Santa Maria Maggiore scala b 5 piano,Rione Monti,00185 Rome,Italy,,,14:00,11:00,21:00,10:00,,FALSE,FALSE
19,Hotel Consul,"https://www.booking.com/hotel/it/consul.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=a54f05f14a0900d8&sr_order=hpe&ucfs=1&srpvid=a54f05f14a0900d8&srepoch=1540515043&room1=A,A&hpos=12&hapos=1012&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1012&from=searchresults;highlight_room=#hotelTmpl",Via Aurelia 727,Aurelio,00165 Rome,Italy,707,6.4,14:00,11:30,23:30,8:00,3,TRUE,TRUE
20,Apartments  Campani 13,"https://www.booking.com/hotel/it/campani13.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=6e7b0f47386a0055&sr_order=hpe&ucfs=1&srpvid=6e7b0f47386a0055&srepoch=1540519823&room1=A,A&hpos=14&hapos=569&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X569&from=searchresults;highlight_room=#hotelTmpl",Piazza dei Campani 13,San Lorenzo,00185 Rome,Italy,31,8.2,15:00,10:00,20:30,9:00,,TRUE,TRUE
21,Apartment  Maximum Apartment,"https://www.booking.com/hotel/it/maximum-apartment.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=1b4ca844822700fb&sr_order=hpe&ucfs=1&srpvid=1b4ca844822700fb&srepoch=1540511754&room1=A,A&hpos=14&hapos=1014&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1014&from=searchresults;highlight_room=#hotelTmpl",Via San Giovanni in Laterano 174,Rione Monti,00184 Rome,Italy,25,8.5,14:00,null,20:00,11:00,,TRUE,FALSE
22,Termini Station Rooms 2,"https://www.booking.com/hotel/it/termini-station-rooms-2.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=8046a403f836008c&sr_order=hpe&ucfs=1&srpvid=8046a403f836008c&srepoch=1540509575&room1=A,A&hpos=2&hapos=1002&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1002&from=searchresults;highlight_room=#hotelTmpl",Via Filippo Turati 23,Central Station,00185 Rome,Italy,136,7.6,15:00,10:00,0:00,8:00,,TRUE,FALSE
23,Seven Miracles Inn,"https://www.booking.com/hotel/it/seven-miracles.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=adca11d3b6e40072&sr_order=hpe&ucfs=1&srpvid=adca11d3b6e40072&srepoch=1540521127&room1=A,A&hpos=5&hapos=275&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X275&from=searchresults;highlight_room=#hotelTmpl",Via di Santa Croce in Gerusalemme 83,Central Station,00183 Rome,Italy,,,15:00,null,21:00,10:00,,FALSE,TRUE
24,B&B Vatican Accommodations,"https://www.booking.com/hotel/it/bb-vatican-accomodations.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=90d50f05114c0306&sr_order=hpe&ucfs=1&srpvid=90d50f05114c0306&srepoch=1540519690&room1=A,A&hpos=8&hapos=593&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X593&from=searchresults;highlight_room=#hotelTmpl",Via Nicolò III 10,Vatican City - Prati,00165 Rome,Italy,109,8.8,13:00,10:30,20:00,8:00,,TRUE,TRUE
25,Roman Place,"https://www.booking.com/hotel/it/romamaria.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=61bda7db82d30193&sr_order=hpe&ucfs=1&srpvid=61bda7db82d30193&srepoch=1540511543&room1=A,A&hpos=10&hapos=1010&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1010&from=searchresults;highlight_room=#hotelTmpl",Via Principe Umberto  85,null,00185 Rome,Italy,278,6.6,13:00,11:00,0:00,10:30,,TRUE,TRUE
26,Vatican Templa Deum,"https://www.booking.com/hotel/it/vatican-templa-deum.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=6e7b0f47386a0055&sr_order=hpe&ucfs=1&srpvid=6e7b0f47386a0055&srepoch=1540519823&room1=A,A&hpos=3&hapos=558&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X558&from=searchresults;highlight_room=#hotelTmpl",69 Via Crescenzio,Vatican City - Prati,00193 Rome,Italy,101,7.7,14:00,null,19:00,11:00,,FALSE,TRUE
27,Cairoli Rooms,"https://www.booking.com/hotel/it/cairoli-rooms.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=44da118f17e700f4&sr_order=hpe&ucfs=1&srpvid=44da118f17e700f4&srepoch=1540520991&room1=A,A&hpos=12&hapos=312&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X312&from=searchresults;highlight_room=#hotelTmpl",Via Cairoli 101,Central Station,00185 Rome,Italy,141,8.6,14:00,null,17:00,11:00,,TRUE,TRUE
28,In Roma Life,"https://www.booking.com/hotel/it/in-roma-life.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=8046a403f836008c&sr_order=hpe&ucfs=1&srpvid=8046a403f836008c&srepoch=1540509575&room1=A,A&hpos=15&hapos=1015&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1015&from=searchresults;highlight_room=#hotelTmpl",Via pallante 27,Appio Latino,00181 Rome,Italy,102,7.2,14:30,11:00,20:00,0:00,,TRUE,TRUE
29,Apartment  La Maison du Relax,"https://www.booking.com/hotel/it/la-maison-du-relax.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=566c1216bfd80111&sr_order=hpe&ucfs=1&srpvid=566c1216bfd80111&srepoch=1540521261&room1=A,A&hpos=8&hapos=248&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X248&from=searchresults;highlight_room=#hotelTmpl",Via dei della Bitta 41,Gianicolense,00148 Rome,Italy,54,9.3,16:30,11:00,19:00,10:30,,TRUE,TRUE
30,Stephany's Guesthouse,"https://www.booking.com/hotel/it/stephany-39-s-guesthouse.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=6f7fa6e7fb5900e2&sr_order=hpe&ucfs=1&srpvid=6f7fa6e7fb5900e2&srepoch=1540511056&room1=A,A&hpos=7&hapos=1007&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X1007&from=searchresults;highlight_room=#hotelTmpl",23 Via Gaeta,Central Station,00185 Rome,Italy,,,8:00,null,0:00,10:00,,TRUE,TRUE
31,Apartment  S. Pietro Station Apartment,"https://www.booking.com/hotel/it/s-pietro-station-apartment.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=6e7b0c9e7d7601c6&sr_order=hpe&ucfs=1&srpvid=6e7b0c9e7d7601c6&srepoch=1540518462&room1=A,A&hpos=6&hapos=861&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X861&from=searchresults;highlight_room=#hotelTmpl",Via del Lago Terrione,Vatican City - Prati,00165 Rome,Italy,34,9.1,12:00,null,20:00,10:30,,FALSE,TRUE
32,Zaccardi Roof Garden,"https://www.booking.com/hotel/it/zaccardi.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=2d4e0ff5834700f4&sr_order=hpe&ucfs=1&srpvid=2d4e0ff5834700f4&srepoch=1540520172&room1=A,A&hpos=6&hapos=486&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X486&from=searchresults;highlight_room=#hotelTmpl",Viale Di Vigna Pia 40,Gianicolense,00149 Rome,Italy,164,7.8,14:00,10:00,23:30,9:00,,FALSE,TRUE
33,Meraviglia,"https://www.booking.com/hotel/it/meraviglia.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=45d80d0785440044&sr_order=hpe&ucfs=1&srpvid=45d80d0785440044&srepoch=1540518671&room1=A,A&hpos=11&hapos=821&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X821&from=searchresults;highlight_room=#hotelTmpl",Piazza Vittorio Emanuele 55,Central Station,00185 Rome,Italy,227,8.4,10:00,0:00,16:00,0:00,,FALSE,TRUE
34,Roma Famous,"https://www.booking.com/hotel/it/b-amp-b-roma-famous.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=df680dd3d72b0365&sr_order=hpe&ucfs=1&srpvid=df680dd3d72b0365&srepoch=1540519079&room1=A,A&hpos=15&hapos=735&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X735&from=searchresults;highlight_room=#hotelTmpl",Via Pandosia 60,San Giovanni,00183 Rome,Italy,341,7,14:00,10:00,22:30,8:00,,FALSE,TRUE
35,Elena House,"https://www.booking.com/hotel/it/elena-house-roma.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=baa30bd321ba0181&sr_order=hpe&ucfs=1&srpvid=baa30bd321ba0181&srepoch=1540518055&room1=A,A&hpos=5&hapos=950&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X950&from=searchresults;highlight_room=#hotelTmpl",21 Via del Moro,Trastevere,00153 Rome,Italy,175,6.2,14:00,null,0:00,9:00,,FALSE,TRUE
36,Star of Rome,"https://www.booking.com/hotel/it/star-of-rome.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=44da118f17e700f4&sr_order=hpe&ucfs=1&srpvid=44da118f17e700f4&srepoch=1540520991&room1=A,A&hpos=5&hapos=305&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X305&from=searchresults;highlight_room=#hotelTmpl",Piazza Pio XI 78,Aurelio,00165 Rome,Italy,448,8.8,12:00,11:00,20:00,8:00,,TRUE,TRUE
37,Green Rooms,"https://www.booking.com/hotel/it/green-rooms-roma.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=398a13fe5e2c0200&sr_order=hpe&ucfs=1&srpvid=398a13fe5e2c0200&srepoch=1540522237&room1=A,A&hpos=3&hapos=33&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X33&from=searchresults;highlight_room=#hotelTmpl",Via Portuense 145,Trastevere,00153 Rome,Italy,236,9.1,13:00,null,21:00,11:00,,FALSE,TRUE
38,Urbis,"https://www.booking.com/hotel/it/urbis.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=c5ea0b6e6aeb00ca&sr_order=hpe&ucfs=1&srpvid=c5ea0b6e6aeb00ca&srepoch=1540517854&room1=A,A&hpos=3&hapos=993&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X993&from=searchresults;highlight_room=#hotelTmpl",Via Marghera  13,null,00185 Rome,Italy,417,7,14:00,11:00,0:00,6:00,2,TRUE,FALSE
39,NL Smart,"https://www.booking.com/hotel/it/nl-smart.en-gb.html?aid=304142&label=gen173nr-1FCAEoggJCAlhYSDNYBGg7iAEBmAEuwgEDYWJuyAEM2AEB6AEB-AELkgIBeagCBA&sid=59dbb86d99c3a360e751ad08c5a365bb&srpvid=49df0f25f6d2008e&sr_order=hpe&ucfs=1&srpvid=49df0f25f6d2008e&srepoch=1540519756&room1=A,A&hpos=3&hapos=573&dest_type=city&dest_id=-126693&srfid=144fa23f528523cc98c3c83d05170f2c585d0074X573&from=searchresults;highlight_room=#hotelTmpl",259 Viale di Trastevere,Trastevere,00153 Rome,Italy,201,7.9,14:00,10:30,21:00,10:00,,FALSE,FALSE
